sample,moderator,category,column,non_missing,unique_values,mean,sd,min,max,large_aggregator_only_rows,large_aggregator_only_unique,local_maas_only_rows,local_maas_only_unique,multi_platform_rows,multi_platform_unique
all,same_mode_competition,competition,same_mode_competitor_count_day_z,14514,4,1.0966072261972057e-16,1.0,-1.3570561706389679,1.7906606300195633,4079,4,1686,3,2129,4
all,same_platform_competition,platform_competition,same_platform_competitor_count_day_z,14514,4,9.00784507233419e-17,1.0,-0.7711832940473351,3.1424371009886864,4079,2,1686,4,2129,4
all,active_vehicle_hhi_same_mode,competition_concentration,active_vehicle_hhi_same_mode_day_z,14514,3937,-3.9164543792757345e-17,1.0,-1.1636090524808518,1.5718463496518313,4079,2864,1686,262,2129,1562
all,unlock_fee_gap_same_mode,relative_price_position,unlock_fee_gap_to_same_mode_min_z,14514,18,-5.4830361309860286e-17,0.9999999999999998,-0.7164088917973037,2.1434140271826028,4079,14,1686,4,2129,8
all,price_per_minute_gap_same_mode,relative_price_position,price_per_minute_gap_to_same_mode_min_z,14514,13,-6.266327006841176e-17,1.0,-0.6516479398232798,3.3535355066245534,4079,7,1686,7,2129,7
all,active_vehicle_share_same_mode,availability_position,active_vehicle_share_same_mode_z,14514,10260,1.2532654013682353e-16,1.0,-1.6764875216329271,1.5062136934757042,4079,3978,1686,262,2129,1986
all,commute_peak_share,process_usage_context,commute_peak_trip_share_z,14514,12372,2.056138549119761e-16,0.9999999999999998,-4.6902664301654005,5.604536226253678,4079,3717,1686,1619,2129,2062
all,night_trip_share,process_usage_context,night_trip_share_z,14514,12655,-3.1135812315242094e-16,1.0,-1.7419126330466232,9.384291955403576,4079,3796,1686,1649,2129,2096
all,reservation_available,process_product,reservation_available_external,14514,2,0.8114923522116577,0.39113048320508226,0.0,1.0,4079,2,1686,2,2129,2
all,free_unlock_pass,price_pass,free_unlock_pass_external,14514,2,0.7681548849386799,0.42202515204029933,0.0,1.0,4079,1,1686,2,2129,1
all,minute_bundle,price_pass,minute_bundle_external,14514,2,0.9894584539065729,0.10213295547707019,0.0,1.0,4079,1,1686,1,2129,1
all,parking_geofence_rules,place_process_friction,mandatory_parking_or_geofence_rules_external,14514,1,1.0,0.0,1.0,1.0,4079,1,1686,1,2129,1
no_weak_exposure,same_mode_competition,competition,same_mode_competitor_count_day_z,13768,4,0.007000168093044661,0.998011791261383,-1.3570561706389679,1.7906606300195633,3638,4,1686,3,2129,4
no_weak_exposure,same_platform_competition,platform_competition,same_platform_competitor_count_day_z,13768,4,0.0008528036369934535,1.0157242680297172,-0.7711832940473351,3.1424371009886864,3638,2,1686,4,2129,4
no_weak_exposure,active_vehicle_hhi_same_mode,competition_concentration,active_vehicle_hhi_same_mode_day_z,13768,3937,-0.008085396827025953,0.9883444363717104,-1.1636090524808518,1.5718463496518313,3638,2567,1686,262,2129,1562
no_weak_exposure,unlock_fee_gap_same_mode,relative_price_position,unlock_fee_gap_to_same_mode_min_z,13768,16,0.01076049190148001,1.0194183010839313,-0.7164088917973037,2.1434140271826028,3638,12,1686,4,2129,8
no_weak_exposure,price_per_minute_gap_same_mode,relative_price_position,price_per_minute_gap_to_same_mode_min_z,13768,13,0.005636305314532782,0.9952815822074551,-0.6516479398232798,3.3535355066245534,3638,7,1686,7,2129,7
no_weak_exposure,active_vehicle_share_same_mode,availability_position,active_vehicle_share_same_mode_z,13768,9827,-0.013740834529348735,0.9953886959016134,-1.6764875216329271,1.5062136934757042,3638,3544,1686,262,2129,1986
no_weak_exposure,commute_peak_share,process_usage_context,commute_peak_trip_share_z,13768,11893,0.0004420761721752506,0.9897576445316785,-4.6902664301654005,5.604536226253678,3638,3303,1686,1619,2129,2062
no_weak_exposure,night_trip_share,process_usage_context,night_trip_share_z,13768,12185,-0.004146367090485588,0.9967931335583635,-1.6110161084766215,9.384291955403576,3638,3376,1686,1649,2129,2096
no_weak_exposure,reservation_available,process_product,reservation_available_external,13768,2,0.8221963974433469,0.3823612170553889,0.0,1.0,3638,2,1686,2,2129,2
no_weak_exposure,free_unlock_pass,price_pass,free_unlock_pass_external,13768,2,0.7777454968041836,0.4157763761103026,0.0,1.0,3638,1,1686,2,2129,1
no_weak_exposure,minute_bundle,price_pass,minute_bundle_external,13768,2,0.9888872748402092,0.1048333474106415,0.0,1.0,3638,1,1686,1,2129,1
no_weak_exposure,parking_geofence_rules,place_process_friction,mandatory_parking_or_geofence_rules_external,13768,1,1.0,0.0,1.0,1.0,3638,1,1686,1,2129,1
scooter_only,same_mode_competition,competition,same_mode_competitor_count_day_z,11149,4,0.409587766992567,0.7603862252042211,-1.3570561706389679,1.7906606300195633,4079,4,279,3,2129,4
scooter_only,same_platform_competition,platform_competition,same_platform_competitor_count_day_z,11149,4,0.03735310472382259,0.99546036063212,-0.7711832940473351,3.1424371009886864,4079,2,279,4,2129,4
scooter_only,active_vehicle_hhi_same_mode,competition_concentration,active_vehicle_hhi_same_mode_day_z,11149,3937,-0.4744159087432429,0.5753098427892978,-1.1636090524808518,1.5718463496518313,4079,2864,279,262,2129,1562
scooter_only,unlock_fee_gap_same_mode,relative_price_position,unlock_fee_gap_to_same_mode_min_z,11149,18,0.2162270984750136,1.0488892227157516,-0.7164088917973037,2.1434140271826028,4079,14,279,4,2129,8
scooter_only,price_per_minute_gap_same_mode,relative_price_position,price_per_minute_gap_to_same_mode_min_z,11149,13,0.196680896717673,1.0653557255623776,-0.6516479398232798,3.3535355066245534,4079,7,279,7,2129,7
scooter_only,active_vehicle_share_same_mode,availability_position,active_vehicle_share_same_mode_z,11149,10260,-0.45460660853401585,0.640598186812977,-1.6764875216329271,1.5062136934757042,4079,3978,279,262,2129,1986
scooter_only,commute_peak_share,process_usage_context,commute_peak_trip_share_z,11149,9920,-0.09638330293244025,0.9270488996104603,-4.6902664301654005,3.668132869451043,4079,3717,279,272,2129,2062
scooter_only,night_trip_share,process_usage_context,night_trip_share_z,11149,10152,0.07513574180967994,0.971588790262229,-1.4671915320972362,9.384291955403576,4079,3796,279,279,2129,2096
scooter_only,reservation_available,process_product,reservation_available_external,11149,2,0.7545968248273388,0.4303452891343437,0.0,1.0,4079,2,279,2,2129,2
scooter_only,free_unlock_pass,price_pass,free_unlock_pass_external,11149,1,1.0,0.0,1.0,1.0,4079,1,279,1,2129,1
scooter_only,minute_bundle,price_pass,minute_bundle_external,11149,1,1.0,0.0,1.0,1.0,4079,1,279,1,2129,1
scooter_only,parking_geofence_rules,place_process_friction,mandatory_parking_or_geofence_rules_external,11149,1,1.0,0.0,1.0,1.0,4079,1,279,1,2129,1
