model,estimator,fe_strategy,outcome,term,coef,std_err,p_value,ci_low,ci_high,nobs,city_operators,cities,r2,adj_r2,sample,family,feature,significant_05,label,estimate,effect_direction
feature_fee_unlock_fee_ge_1_00_group_ride_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only:group_ride,23690729246.885273,,,,,14514,97,30,0.7777229665045482,0.7746012725601249,all,feature_fee_moderation,group_ride,False,unlock_fee_ge_1_00:Local MaaS only:group_ride,23690729246.885,positive
feature_fee_unlock_fee_ge_1_00_group_ride_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform:group_ride,11694389212.621147,,,,,14514,97,30,0.7777229665045482,0.7746012725601249,all,feature_fee_moderation,group_ride,False,unlock_fee_ge_1_00:Multi-platform:group_ride,11694389212.621,positive
feature_fee_unlock_fee_ge_1_00_group_ride_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only:group_ride,-0.03907478973227557,0.005051246007036497,1.0285714532280527e-14,-0.048975049983118864,-0.02917452948143228,14514,97,30,0.900429423724516,0.8986344154400884,all,feature_fee_moderation,group_ride,True,unlock_fee_ge_1_00:Local MaaS only:group_ride,-0.039***,negative
feature_fee_unlock_fee_ge_1_00_group_ride_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform:group_ride,-0.006346867779533996,0.002114993927609059,0.00269190263143886,-0.010492179705168667,-0.0022015558538993263,14514,97,30,0.900429423724516,0.8986344154400884,all,feature_fee_moderation,group_ride,True,unlock_fee_ge_1_00:Multi-platform:group_ride,-0.006**,negative
feature_fee_unlock_fee_ge_1_00_no_of_vehicle_types_z_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only:no_of_vehicle_types_z,0.07435230742043546,0.016232067963925557,4.636852593977861e-06,0.04253803881653496,0.10616657602433596,14514,97,30,0.7832093852436787,0.7801186531582576,all,feature_fee_moderation,no_of_vehicle_types_z,True,unlock_fee_ge_1_00:Local MaaS only:no_of_vehicle_types_z,0.074***,positive
feature_fee_unlock_fee_ge_1_00_no_of_vehicle_types_z_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform:no_of_vehicle_types_z,0.026579815870275664,0.024426556483562713,0.2765278377565733,-0.021295355103840605,0.07445498684439193,14514,97,30,0.7832093852436787,0.7801186531582576,all,feature_fee_moderation,no_of_vehicle_types_z,False,unlock_fee_ge_1_00:Multi-platform:no_of_vehicle_types_z,0.027,positive
feature_fee_unlock_fee_ge_1_00_no_of_vehicle_types_z_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only:no_of_vehicle_types_z,0.01395967773361292,0.0030847527921850264,6.028716105710019e-06,0.007913673359720898,0.020005682107504943,14514,97,30,0.9004346025204195,0.8986396875967205,all,feature_fee_moderation,no_of_vehicle_types_z,True,unlock_fee_ge_1_00:Local MaaS only:no_of_vehicle_types_z,0.014***,positive
feature_fee_unlock_fee_ge_1_00_no_of_vehicle_types_z_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform:no_of_vehicle_types_z,0.06450876372871797,0.0029796685003302585,6.125091883021915e-104,0.05866872078220219,0.07034880667523376,14514,97,30,0.9004346025204195,0.8986396875967205,all,feature_fee_moderation,no_of_vehicle_types_z,True,unlock_fee_ge_1_00:Multi-platform:no_of_vehicle_types_z,0.065***,positive
feature_fee_unlock_fee_ge_1_00_complementary_services_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only:complementary_services,1.8297022748740073e-18,1.0226491235469775e-18,0.07358600220803488,-1.7465317609952082e-19,3.8340577258475355e-18,14514,97,30,0.7804011133288073,0.7773170317035342,all,feature_fee_moderation,complementary_services,False,unlock_fee_ge_1_00:Local MaaS only:complementary_services,0.000+,positive
feature_fee_unlock_fee_ge_1_00_complementary_services_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform:complementary_services,-3.762979362007648e-17,1.3384904235045138e-18,6.679566759123714e-174,-4.025318664379709e-17,-3.5006400596355865e-17,14514,97,30,0.7804011133288073,0.7773170317035342,all,feature_fee_moderation,complementary_services,True,unlock_fee_ge_1_00:Multi-platform:complementary_services,-0.000***,negative
feature_fee_unlock_fee_ge_1_00_complementary_services_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only:complementary_services,1.0057724180256887e-18,5.954332687576283e-19,0.09119187466794797,-1.612553439362213e-19,2.1728001799875986e-18,14514,97,30,0.9004294179043248,0.898641519397171,all,feature_fee_moderation,complementary_services,False,unlock_fee_ge_1_00:Local MaaS only:complementary_services,0.000+,positive
feature_fee_unlock_fee_ge_1_00_complementary_services_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform:complementary_services,-3.397801004866157e-17,1.3578486060309305e-18,3.4003676986054533e-138,-3.663934441294011e-17,-3.131667568438303e-17,14514,97,30,0.9004294179043248,0.898641519397171,all,feature_fee_moderation,complementary_services,True,unlock_fee_ge_1_00:Multi-platform:complementary_services,-0.000***,negative
feature_fee_unlock_fee_ge_1_20_group_ride_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:local_maas_only:group_ride,71937757.18049699,,,,,14514,97,30,0.7803945284869132,0.777310354383075,all,feature_fee_moderation,group_ride,False,unlock_fee_ge_1_20:Local MaaS only:group_ride,71937757.180,positive
feature_fee_unlock_fee_ge_1_20_group_ride_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:multi_platform:group_ride,-43168199.6114819,,,,,14514,97,30,0.7803945284869132,0.777310354383075,all,feature_fee_moderation,group_ride,False,unlock_fee_ge_1_20:Multi-platform:group_ride,-43168199.611,negative
feature_fee_unlock_fee_ge_1_20_group_ride_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:local_maas_only:group_ride,-0.010596619771126005,0.0036114886904331563,0.0033447141198854726,-0.017675007534948717,-0.003518232007303294,14514,97,30,0.9003641254608312,0.8985750545565717,all,feature_fee_moderation,group_ride,True,unlock_fee_ge_1_20:Local MaaS only:group_ride,-0.011**,negative
feature_fee_unlock_fee_ge_1_20_group_ride_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:multi_platform:group_ride,0.012160728122275878,0.002510122236575153,1.2681866998431725e-06,0.007240978941795448,0.017080477302756306,14514,97,30,0.9003641254608312,0.8985750545565717,all,feature_fee_moderation,group_ride,True,unlock_fee_ge_1_20:Multi-platform:group_ride,0.012***,positive
feature_fee_unlock_fee_ge_1_20_no_of_vehicle_types_z_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:local_maas_only:no_of_vehicle_types_z,0.0747388917492974,0.01579538443196593,2.22656244026077e-06,0.04378050714067952,0.10569727635791529,14514,97,30,0.7874643508359342,0.7844342807800624,all,feature_fee_moderation,no_of_vehicle_types_z,True,unlock_fee_ge_1_20:Local MaaS only:no_of_vehicle_types_z,0.075***,positive
feature_fee_unlock_fee_ge_1_20_no_of_vehicle_types_z_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:multi_platform:no_of_vehicle_types_z,0.03443573276418646,0.024091851636338868,0.1529031295550487,-0.012783428763920086,0.081654894292293,14514,97,30,0.7874643508359342,0.7844342807800624,all,feature_fee_moderation,no_of_vehicle_types_z,False,unlock_fee_ge_1_20:Multi-platform:no_of_vehicle_types_z,0.034,positive
feature_fee_unlock_fee_ge_1_20_no_of_vehicle_types_z_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:local_maas_only:no_of_vehicle_types_z,0.01392028102340938,0.0036581388089040826,0.0001416378299621124,0.006750460707509127,0.021090101339309632,14514,97,30,0.9003643516598798,0.8985681702889896,all,feature_fee_moderation,no_of_vehicle_types_z,True,unlock_fee_ge_1_20:Local MaaS only:no_of_vehicle_types_z,0.014***,positive
feature_fee_unlock_fee_ge_1_20_no_of_vehicle_types_z_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:multi_platform:no_of_vehicle_types_z,0.009988424119078911,0.004934812518208187,0.04296257156731801,0.00031636931293345556,0.019660478925224364,14514,97,30,0.9003643516598798,0.8985681702889896,all,feature_fee_moderation,no_of_vehicle_types_z,True,unlock_fee_ge_1_20:Multi-platform:no_of_vehicle_types_z,0.010*,positive
feature_fee_unlock_fee_ge_1_20_complementary_services_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:local_maas_only:complementary_services,1.1494357575984542e-17,1.1485782609829757e-18,1.4132641165868513e-23,9.243185551032263e-18,1.3745529600936822e-17,14514,97,30,0.7827524092916281,0.7797013496401202,all,feature_fee_moderation,complementary_services,True,unlock_fee_ge_1_20:Local MaaS only:complementary_services,0.000***,positive
feature_fee_unlock_fee_ge_1_20_complementary_services_market_fe_all,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_20:multi_platform:complementary_services,-1.9755232023533725e-17,2.319689373497805e-18,1.646941271535124e-17,-2.4301739650909703e-17,-1.5208724396157746e-17,14514,97,30,0.7827524092916281,0.7797013496401202,all,feature_fee_moderation,complementary_services,True,unlock_fee_ge_1_20:Multi-platform:complementary_services,-0.000***,negative
feature_fee_unlock_fee_ge_1_20_complementary_services_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:local_maas_only:complementary_services,-2.5187812147190602e-17,1.1982178905963173e-18,4.2091305006911546e-98,-2.753627605839094e-17,-2.2839348235990266e-17,14514,97,30,0.9003641254608312,0.8985750545565717,all,feature_fee_moderation,complementary_services,True,unlock_fee_ge_1_20:Local MaaS only:complementary_services,-0.000***,negative
feature_fee_unlock_fee_ge_1_20_complementary_services_unit_fe_all,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_20:multi_platform:complementary_services,-4.750681979195012e-18,1.6025840114412123e-18,0.0030328490379526647,-7.891688923819515e-18,-1.6096750345705102e-18,14514,97,30,0.9003641254608312,0.8985750545565717,all,feature_fee_moderation,complementary_services,True,unlock_fee_ge_1_20:Multi-platform:complementary_services,-0.000**,negative
feature_fee_unlock_fee_ge_1_00_group_ride_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only:group_ride,-72687073.03720856,5.3662367309349357e+17,0.9999999998919245,-1.0517630725875301e+18,1.0517630724421559e+18,13768,92,30,0.8128906258328881,0.8101183286039636,no_weak_exposure,feature_fee_moderation,group_ride,False,unlock_fee_ge_1_00:Local MaaS only:group_ride,-72687073.037,negative
feature_fee_unlock_fee_ge_1_00_group_ride_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform:group_ride,-39676626.96151352,,,,,13768,92,30,0.8128906258328881,0.8101183286039636,no_weak_exposure,feature_fee_moderation,group_ride,False,unlock_fee_ge_1_00:Multi-platform:group_ride,-39676626.962,negative
feature_fee_unlock_fee_ge_1_00_group_ride_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only:group_ride,-0.03487340336530109,0.00521084153193546,2.1943395667964374e-11,-0.04508646509704012,-0.024660341633562066,13768,92,30,0.902702837038639,0.9008886391055082,no_weak_exposure,feature_fee_moderation,group_ride,True,unlock_fee_ge_1_00:Local MaaS only:group_ride,-0.035***,negative
feature_fee_unlock_fee_ge_1_00_group_ride_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform:group_ride,-0.0065009539516986264,0.0020477388924776004,0.0014999216984467518,-0.010514448430696662,-0.0024874594727005914,13768,92,30,0.902702837038639,0.9008886391055082,no_weak_exposure,feature_fee_moderation,group_ride,True,unlock_fee_ge_1_00:Multi-platform:group_ride,-0.007**,negative
feature_fee_unlock_fee_ge_1_00_no_of_vehicle_types_z_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only:no_of_vehicle_types_z,0.052420997587201146,0.014010864979978083,0.00018295914871236643,0.024960206834190597,0.0798817883402117,13768,92,30,0.8180982983503485,0.8153623293806126,no_weak_exposure,feature_fee_moderation,no_of_vehicle_types_z,True,unlock_fee_ge_1_00:Local MaaS only:no_of_vehicle_types_z,0.052***,positive
feature_fee_unlock_fee_ge_1_00_no_of_vehicle_types_z_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform:no_of_vehicle_types_z,0.02883826268355258,0.024964627612899512,0.2480228869399792,-0.02009150832518461,0.07776803369228977,13768,92,30,0.8180982983503485,0.8153623293806126,no_weak_exposure,feature_fee_moderation,no_of_vehicle_types_z,False,unlock_fee_ge_1_00:Multi-platform:no_of_vehicle_types_z,0.029,positive
feature_fee_unlock_fee_ge_1_00_no_of_vehicle_types_z_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only:no_of_vehicle_types_z,0.01357552179959329,0.0031183762704603854,1.3404567744805637e-05,0.0074636166192465995,0.019687426979939977,13768,92,30,0.9027073516157638,0.9008932378612076,no_weak_exposure,feature_fee_moderation,no_of_vehicle_types_z,True,unlock_fee_ge_1_00:Local MaaS only:no_of_vehicle_types_z,0.014***,positive
feature_fee_unlock_fee_ge_1_00_no_of_vehicle_types_z_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform:no_of_vehicle_types_z,0.06405478947177767,0.0029783758198457084,1.3499658323427078e-102,0.058217280132455126,0.06989229881110022,13768,92,30,0.9027073516157638,0.9008932378612076,no_weak_exposure,feature_fee_moderation,no_of_vehicle_types_z,True,unlock_fee_ge_1_00:Multi-platform:no_of_vehicle_types_z,0.064***,positive
feature_fee_unlock_fee_ge_1_00_complementary_services_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only:complementary_services,-3.433532863839439e-17,1.3834165495552085e-18,5.559702905025306e-136,-3.704677525113927e-17,-3.162388202564951e-17,13768,92,30,0.8163989572197415,0.8136786410175573,no_weak_exposure,feature_fee_moderation,complementary_services,True,unlock_fee_ge_1_00:Local MaaS only:complementary_services,-0.000***,negative
feature_fee_unlock_fee_ge_1_00_complementary_services_market_fe_no_weak_exposure,ols_cluster,market_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform:complementary_services,3.400851339066128e-17,2.5193110066795347e-18,1.582280133523701e-41,2.907075455171404e-17,3.8946272229608516e-17,13768,92,30,0.8163989572197415,0.8136786410175573,no_weak_exposure,feature_fee_moderation,complementary_services,True,unlock_fee_ge_1_00:Multi-platform:complementary_services,0.000***,positive
feature_fee_unlock_fee_ge_1_00_complementary_services_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:local_maas_only:complementary_services,4.869031411786436e-17,1.6513035784562213e-18,4.354525344170176e-191,4.5453818576548056e-17,5.1926809659180665e-17,13768,92,30,0.9027028369447032,0.9008959719012821,no_weak_exposure,feature_fee_moderation,complementary_services,True,unlock_fee_ge_1_00:Local MaaS only:complementary_services,0.000***,positive
feature_fee_unlock_fee_ge_1_00_complementary_services_unit_fe_no_weak_exposure,ols_cluster,unit_fe,ur_boxcox,unlock_fee_ge_1_00:multi_platform:complementary_services,-2.3928912631671504e-17,1.4325514218878802e-18,1.2317851996895293e-62,-2.6736661824573393e-17,-2.1121163438769615e-17,13768,92,30,0.9027028369447032,0.9008959719012821,no_weak_exposure,feature_fee_moderation,complementary_services,True,unlock_fee_ge_1_00:Multi-platform:complementary_services,-0.000***,negative
