family,term,label,n_models,n_negative_sig_05,n_positive_sig_05,median_coef,all_market_fe_coef,all_market_fe_p,all_unit_fe_coef,all_unit_fe_p,no_weak_market_fe_coef,no_weak_market_fe_p,scooter_market_fe_coef,scooter_market_fe_p
leave_one_operator,unlock_fee_ge_0_99:platform_any,unlock_fee_ge_0_99:Any platform,8,4,0,-0.03624589906628252,,,,,,,,
leave_one_operator,unlock_fee_ge_1_20:platform_any,unlock_fee_ge_1_20:Any platform,8,3,2,-0.011596220553335892,,,,,,,,
leave_one_operator,unlock_fee_ge_1_00:platform_any,unlock_fee_ge_1_00:Any platform,8,3,1,-0.019660506822192694,,,,,,,,
leave_one_operator,unlock_fee_ge_0_75:platform_any,unlock_fee_ge_0_75:Any platform,8,2,0,-0.015374082805197344,,,,,,,,
threshold_any,unlock_fee_ge_0_49:platform_any,unlock_fee_ge_0_49:Any platform,6,3,1,-0.03038979549255514,-0.18025865532660942,2.438835877957997e-05,0.005574392680055967,0.5775721120063753,-0.12511256365008444,0.0007701654157468815,-0.06579074002549123,0.02763025928733581
threshold_any,unlock_fee_ge_0_99:platform_any,unlock_fee_ge_0_99:Any platform,6,3,0,-0.029583023479974456,-0.15980952376304292,2.0303627489793827e-05,-0.006951029967378505,0.6252320688554687,-0.1113937501298897,0.00038669444824050307,-0.051588660787773966,0.02111151325970602
threshold_any,unlock_fee_ge_1_00:platform_any,unlock_fee_ge_1_00:Any platform,6,3,0,-0.030986124568887437,-0.1580679491936183,4.667135545521827e-06,-0.01306021672370841,0.4017276274611108,-0.10974598889742031,0.00012988336368601107,-0.04885258892349508,0.013308743041369054
threshold_any,unlock_fee_ge_1_20:platform_any,unlock_fee_ge_1_20:Any platform,6,3,0,-0.026070736752553236,-0.15494069707873342,7.920324566657244e-06,-0.005171646938362977,0.7541452328751838,-0.10843235810731182,0.00014846654835621445,-0.04696982656674349,0.02123247855004412
threshold_any,unlock_fee_positive:platform_any,unlock_fee_positive:Any platform,6,2,0,-0.00463522279915754,-0.18217358259896604,0.0004007130315278651,0.005574392680053707,0.5775721120065209,-0.12491285376864238,0.006945997283523239,-0.0030445268380097697,0.6300735512962434
threshold_any,unlock_fee_ge_0_75:platform_any,unlock_fee_ge_0_75:Any platform,6,1,0,-0.015019056355604915,-0.07517402346064636,0.03993800770931274,-0.007084200396923208,0.6188049190873267,-0.04144742202739496,0.30422823171119207,-0.021577435546154253,0.381100449998527
threshold_type,unlock_fee_ge_1_00:multi_platform,unlock_fee_ge_1_00:Multi-platform,6,6,0,-0.09873998045904411,-0.1461973117230732,0.00021027395338566834,-0.0988043956793538,1.274750531500321e-10,-0.11757004904448505,0.0006379996876288677,-0.08383197469446876,0.0019653670460200597
threshold_type,unlock_fee_ge_1_20:multi_platform,unlock_fee_ge_1_20:Multi-platform,6,6,0,-0.0889312414772423,-0.17112779166611697,2.51953077677236e-05,-0.08204023391969752,7.402020695095157e-06,-0.1437665890361345,2.3017164588736927e-05,-0.09582224903478709,0.0018372089407855824
threshold_type,unlock_fee_ge_0_49:local_maas_only,unlock_fee_ge_0_49:Local MaaS only,6,5,0,-0.053374135533747535,-0.19027941624435005,1.0355793629377185e-05,-0.04746656911771551,0.024660449885741047,-0.13832944078699594,0.00016707174935794665,-0.059200177504353836,0.04389689905266184
threshold_type,unlock_fee_ge_0_49:multi_platform,unlock_fee_ge_0_49:Multi-platform,6,5,0,-0.02982670855337531,-0.03173225376547992,0.021078827677566723,-0.029032674366377065,0.0032828452712049725,-0.027181083644106152,0.029960830071521838,-0.011549956595622968,0.13288133459151616
threshold_type,unlock_fee_ge_0_75:local_maas_only,unlock_fee_ge_0_75:Local MaaS only,6,5,0,-0.06576295005024772,-0.1961432176620001,3.2469550816563565e-06,-0.05285418680947252,0.0006769084011132837,-0.1324494527509048,0.00027264141401802294,-0.0785518629311838,0.027055506722368096
threshold_type,unlock_fee_ge_0_99:local_maas_only,unlock_fee_ge_0_99:Local MaaS only,6,5,0,-0.06847485542590184,-0.21187833824827862,3.868298806915053e-07,-0.052928928997139274,0.0009897623669388067,-0.15434468021437353,9.901067257787551e-06,-0.08390695624767934,0.02299731252321188
threshold_type,unlock_fee_ge_0_99:multi_platform,unlock_fee_ge_0_99:Multi-platform,6,5,0,-0.08906437626971034,-0.1115175376695018,0.018885055175050024,-0.09493591600591587,3.989154783077421e-10,-0.08342372227595052,0.04156631320885375,-0.043331271759618345,0.19200891003204934
threshold_type,unlock_fee_ge_1_00:local_maas_only,unlock_fee_ge_1_00:Local MaaS only,6,5,0,-0.07256403317558982,-0.2286322927694854,2.3500747816599214e-08,-0.04889732940738122,0.0023086973194887312,-0.16617050076928247,9.202218878228411e-07,-0.0961363934091007,0.0034996373711165766
threshold_type,unlock_fee_ge_1_20:local_maas_only,unlock_fee_ge_1_20:Local MaaS only,6,5,0,-0.08459287805056143,-0.23345565959896625,1.7274500564030273e-08,-0.04742393630019462,0.006098189182336614,-0.17172443468488943,3.9366126151717853e-07,-0.1216015750050465,3.2280131356402856e-05
threshold_type,unlock_fee_positive:local_maas_only,unlock_fee_positive:Local MaaS only,6,5,0,-0.04750733134042938,-0.16919436414023856,0.0014493774463318224,-0.04746656911772,0.024660449885728075,-0.12064916090592775,0.011018702889765265,-0.0022678788346751503,0.8308113221284927
threshold_type,unlock_fee_positive:multi_platform,unlock_fee_positive:Multi-platform,6,4,0,-0.027519340242595537,-0.026006006118816143,0.045287796909260006,-0.029032674366374932,0.003282845271207379,-0.02278553746819303,0.05141444651377737,-0.012519785410420647,0.10780376530881891
threshold_type,unlock_fee_ge_0_75:multi_platform,unlock_fee_ge_0_75:Multi-platform,6,3,0,-0.07215677493309153,-0.06285601765451726,0.18232076594575364,-0.09515153928957598,6.103162777139006e-11,-0.01404855508582216,0.7614071518002419,-0.02471165071641903,0.46974992196189724
threshold_type,unlock_fee_ge_0_49:large_aggregator_only,unlock_fee_ge_0_49:FreeNow only,6,0,0,-0.006277197562471289,-0.009038811899176167,0.14160409991072354,-0.005546176976197471,0.2750205874319206,-0.005757195552532152,0.35941825797830584,-0.007462243751241695,0.16078574607299745
threshold_type,unlock_fee_ge_0_75:large_aggregator_only,unlock_fee_ge_0_75:FreeNow only,6,0,0,-0.00372223673287695,0.042002786226052476,0.31776580615048045,-0.011381278203578725,0.4529164007483246,0.06719857564972298,0.12284372039478682,0.000892087822425255,0.9747263469849472
threshold_type,unlock_fee_ge_0_99:large_aggregator_only,unlock_fee_ge_0_99:FreeNow only,6,0,0,-0.015262918940449732,-0.027831071632539763,0.30396347448888394,-0.010463703319564087,0.4799939055034521,-0.020062134561335376,0.37600736661370693,-0.025629943932385955,0.14936498964609415
threshold_type,unlock_fee_ge_1_00:large_aggregator_only,unlock_fee_ge_1_00:FreeNow only,6,0,0,-0.019807052375125957,-0.04467548470003434,0.0657667122427562,-0.015698129998559025,0.32526752927063884,-0.03255199063385916,0.13862664373824368,-0.02391597475169289,0.15039938881188206
threshold_type,unlock_fee_ge_1_20:large_aggregator_only,unlock_fee_ge_1_20:FreeNow only,6,0,0,-0.013370360463989282,-0.039165103279589525,0.10853778757476033,-0.0065532621748832474,0.6994352374077072,-0.026338991321323335,0.22713070632087806,-0.020187458753095317,0.24502311348866201
threshold_type,unlock_fee_positive:large_aggregator_only,unlock_fee_positive:FreeNow only,6,0,0,-0.005511371574546899,-0.0025385086282671424,0.6806983791277932,-0.005546176976199583,0.27502058743174385,-0.0007702257462668602,0.9046111178986366,-0.005476566172894214,0.30679297987996557
